time,rx_deg,ry_deg,ball_x_mm,ball_y_mm,ball_detected,s0,s1,s2,s3,s4,s5
0.020061016082763672,0.0,0.0,-19.93670886075949,-3.8365384615384612,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
0.07203364372253418,0.0,0.0,-18.82911392405063,-3.8365384615384612,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
0.12377667427062988,0.0,0.0,-19.93670886075949,-3.8365384615384612,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
0.17546820640563965,0.0,0.0,-19.93670886075949,-3.8365384615384612,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
0.22788119316101074,0.0,0.0,-19.93670886075949,-3.8365384615384612,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
0.2798738479614258,0.0,0.0,-19.93670886075949,-3.8365384615384612,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
0.3314645290374756,0.0,0.0,-19.93670886075949,-3.8365384615384612,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
0.38388681411743164,0.0,0.0,-19.93670886075949,-3.8365384615384612,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
0.4356396198272705,0.0,0.0,-19.93670886075949,-3.8365384615384612,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
0.4869711399078369,0.0,0.0,-19.93670886075949,-3.8365384615384612,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
0.5397555828094482,0.0,0.0,-19.93670886075949,-2.5576923076923075,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
0.592057466506958,0.0,0.0,-19.93670886075949,-3.8365384615384612,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
0.6441600322723389,0.0,0.0,-19.93670886075949,-2.5576923076923075,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
0.6957767009735107,0.0,0.0,-19.93670886075949,-3.8365384615384612,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
0.7475593090057373,0.0,0.0,-19.93670886075949,-3.8365384615384612,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
0.7990756034851074,0.0,0.0,-19.93670886075949,-2.5576923076923075,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
0.8505957126617432,0.0,0.0,-19.93670886075949,-3.8365384615384612,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
0.9026408195495605,0.0,0.0,-19.93670886075949,-3.8365384615384612,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
0.9542086124420166,0.0,0.0,-19.93670886075949,-3.8365384615384612,True,3.1805546814635168e-15,7.951386703658792e-15,9.54166404439055e-15,1.5107634736951704e-14,1.2722218725854067e-14,1.033680271475643e-14
1.0061767101287842,-3.0,0.0,-19.93670886075949,-3.8365384615384612,True,-3.782674744539636,-3.782674744539631,-3.1919200180473064,7.009498066277488,7.009498066277485,-3.1919200180473064
1.0585191249847412,-3.0,0.0,-18.82911392405063,-2.5576923076923075,True,-3.782674744539636,-3.782674744539631,-3.1919200180473064,7.009498066277488,7.009498066277485,-3.1919200180473064
1.110464096069336,-3.0,0.0,-18.82911392405063,-2.5576923076923075,True,-3.782674744539636,-3.782674744539631,-3.1919200180473064,7.009498066277488,7.009498066277485,-3.1919200180473064
1.1634035110473633,-3.0,0.0,-18.82911392405063,-1.2788461538461537,True,-3.782674744539636,-3.782674744539631,-3.1919200180473064,7.009498066277488,7.009498066277485,-3.1919200180473064
1.215080976486206,-3.0,0.0,-18.82911392405063,1.2788461538461537,True,-3.782674744539636,-3.782674744539631,-3.1919200180473064,7.009498066277488,7.009498066277485,-3.1919200180473064
1.2669363021850586,-3.0,0.0,-18.82911392405063,3.8365384615384612,True,-3.782674744539636,-3.782674744539631,-3.1919200180473064,7.009498066277488,7.009498066277485,-3.1919200180473064
1.3187110424041748,-3.0,0.0,-19.93670886075949,7.6730769230769225,True,-3.782674744539636,-3.782674744539631,-3.1919200180473064,7.009498066277488,7.009498066277485,-3.1919200180473064
1.3709430694580078,-3.0,0.0,-19.93670886075949,11.509615384615383,True,-3.782674744539636,-3.782674744539631,-3.1919200180473064,7.009498066277488,7.009498066277485,-3.1919200180473064
1.4225025177001953,-3.0,0.0,-19.93670886075949,15.346153846153845,True,-3.782674744539636,-3.782674744539631,-3.1919200180473064,7.009498066277488,7.009498066277485,-3.1919200180473064
1.474637746810913,-3.0,0.0,-22.151898734177212,21.740384615384613,True,-3.782674744539636,-3.782674744539631,-3.1919200180473064,7.009498066277488,7.009498066277485,-3.1919200180473064
